Titulo,Empresa,Local,Data,Categoria
França: Quadristas / Eletricistas,SPS SWISS GROUP PORTUGAL TFSE LDA,Outros Locais - Estrangeiro,12-9-2024,Indústria / Produção
Eletricista Industrial - França,SPS SWISS GROUP PORTUGAL TFSE LDA,Outros Locais - Estrangeiro,12-9-2024,Indústria / Produção
França - Responsável de Eletricista Industrial,SPS SWISS GROUP PORTUGAL TFSE LDA,Outros Locais - Estrangeiro,12-9-2024,Indústria / Produção
Assistente de Loja Divertido (m/f) - ALE-HOP Albufeira,Branco e Negro Lda,Faro,12-9-2024,Lojas / Comércio / Balcão
Técnico/a de Eletrotécnica - TAVIRA,iServices lda,Faro,12-9-2024,Engenharia ( Eletrotecnica )
PROMOTORES PARA RECOLHA DE DADOS - GRANDE LISBOA (m/f),Service Innovation Group,( Todas as Zonas ),12-9-2024,Lojas / Comércio / Balcão
Precisa-se de Empregados de Balcão e Assadores/Grelhadores para take away's de sucesso,"Churrasqueiras Rei dos Frangos, Lda",Lisboa,12-9-2024,Restauração / Bares / Pastelarias
PROMOTORES PARA RECOLHA DE DADOS - ALENTEJO (m/f),Service Innovation Group,( Todas as Zonas ),12-9-2024,Lojas / Comércio / Balcão
Precisa-se Encarregado (Construção Civil) - Vilamoura,"IMGP Engineering, Lda.",Faro,12-9-2024,Construção Civil
Precisa-se Chefe de Equipa (Construção Civil) - Vilamoura,"IMGP Engineering, Lda.",Faro,12-9-2024,Construção Civil
Gestionnaire en Assurance Santé - Télétravail en Régime Hybride,Génération,Lisboa,12-9-2024,Gestão de Empresas / Economia
Assistente de Loja Divertido (m/f) - ALE-HOP Baixa de Lisboa,Branco e Negro Lda,Lisboa,12-9-2024,Lojas / Comércio / Balcão
Executive Assitente  CEO - FUNCHAL,Mecweld,Madeira,12-9-2024,Gestão RH
Técnico Superior de Segurança e Higiene do Trabalho (m/f),SAMS/Mais,Lisboa,12-9-2024,Serviços Técnicos
Assistente de loja Divertido (m/f) - ALE-HOP Aeroporto da Madeira,Branco e Negro Lda,Madeira,12-9-2024,Lojas / Comércio / Balcão
Assistente de Loja Divertido (m/f) - ALE-HOP Aeroporto de Lisboa,Branco e Negro Lda,Lisboa,12-9-2024,Lojas / Comércio / Balcão
Assistente de Loja Divertido (m/f) - ALE-HOP Ferrara Plaza,Branco e Negro Lda,Porto,12-9-2024,Lojas / Comércio / Balcão
Assistente de Loja Divertido (m/f) - ALE-HOP Funchal Anadia,Branco e Negro Lda,Madeira,12-9-2024,Lojas / Comércio / Balcão
Consultor Júnior para área de Planeamento e Controlo de Gestão,SAMS/Mais,Lisboa,12-9-2024,Gestão de Empresas / Economia
PROMOTORES PARA RECOLHA DE DADOS - NORTE (m/f),Service Innovation Group,( Todas as Zonas ),12-9-2024,Lojas / Comércio / Balcão
Assistente de Loja Divertido (M/F) - ALE-HOP Ovar,Branco e Negro Lda,Aveiro,12-9-2024,Lojas / Comércio / Balcão
Assistente de Loja Divertido (m/f) - ALE-HOP Coimbra,Branco e Negro Lda,Coimbra,12-9-2024,Lojas / Comércio / Balcão
Apoio ao cliente (m/f) - Porto,Sector Interactivo Lda,Porto,12-9-2024,Comercial / Vendas
Assistente de Loja Divertido (m/f) - ALE-HOP Baixa do Porto,Branco e Negro Lda,Porto,12-9-2024,Lojas / Comércio / Balcão
Télé Assistant de Gestion H/F  Leiria (français) - CDI  - home office 3/days,Génération,Leiria,12-9-2024,Call Center / Help Desk
Engenheiro/a Alimentar - Supervisor/a de Lojas e Restaurantes,"Churrasqueiras Rei dos Frangos, Lda",Leiria,12-9-2024,Gestão RH
Assistente de Loja Divertido (M/F) - ALE-HOP Espinho,Branco e Negro Lda,Porto,12-9-2024,Lojas / Comércio / Balcão
Colaborador/a para Formação remunerada- Apoio ao cliente- Aveiro,Sector Interactivo Lda,Aveiro,12-9-2024,Comercial / Vendas
Comercial Imobiliário - Arrendamentos (Lisboa),"EV MMC PORTUGAL  MEDIÇAO IMOBILIÁRIA, UNIPESSOAL",Lisboa,12-9-2024,Imobiliário
Consultor Imobiliário - Lisboa,"EV MMC PORTUGAL  MEDIÇAO IMOBILIÁRIA, UNIPESSOAL",Lisboa,12-9-2024,Imobiliário
Colaborador/a para Formação remunerada - Apoio ao cliente - Santa Maria da Feira (M/F),Sector Interactivo Lda,Aveiro,12-9-2024,Comercial / Vendas
Colaborador/a para Formação remunerada- Apoio ao cliente- Braga (M/F),Sector Interactivo Lda,Braga,12-9-2024,Comercial / Vendas
Apoio ao cliente (m/f) Vila Nova de Gaia,Sector Interactivo Lda,Porto,12-9-2024,Comercial / Vendas
Colaborador/a para Formação remunerada - Apoio ao cliente - Vila Nova de Gaia (M/F),Sector Interactivo Lda,Porto,12-9-2024,Comercial / Vendas
Housekeeper para Empresa Multinacional de Cruzeiros no Douro: Salário atrativo,AMPLIA,Porto,12-9-2024,Hotelaria / Turismo
Housekeeper Com ou Sem Experiência para Cruzeiros de Luxo na Europa: condições salariais atrativas,AMPLIA,( Todas as Zonas ),12-9-2024,Hotelaria / Turismo
Manutenção & Reparação de Eletrodomésticos (M/F) - Coimbra,Get The Job,Coimbra,12-9-2024,Serviços Técnicos
Responsável de Peixaria (m/f) - Almancil (Loulé),"Apolonia Supermercados, SA",Faro,12-9-2024,Lojas / Comércio / Balcão
Colaboradores de Loja (m/f) - Secção de Peixaria - Almancil (Loulé),"Apolonia Supermercados, SA",Faro,12-9-2024,Lojas / Comércio / Balcão
Vendedor de Loja - VIANA CASTELO - RADIO POPULAR,Radio Popular SA,Viana do Castelo,12-9-2024,Lojas / Comércio / Balcão
Vendedor de Loja - ALFRAGIDE - RADIO POPULAR SA,Radio Popular SA,Lisboa,12-9-2024,Lojas / Comércio / Balcão
Operador de Produção - Indústria Alimentar - Trofa,Multitempo by Job&Talent,Porto,12-9-2024,Indústria / Produção
Vendedores de Loja  VISEU - Retail Park - PART-TIME (Sexta/Sábado/Domingo) - 24H,Radio Popular SA,Viseu,12-9-2024,Lojas / Comércio / Balcão
Comercial de Alarmes (M/F) - Torres Novas,"Securitas Direct Portugal, Lda.",Santarem,12-9-2024,Comercial / Vendas
Comercial de Alarmes (M/F) Sintra,"Securitas Direct Portugal, Lda.",Lisboa,12-9-2024,Comercial / Vendas
Colaboradores de Loja (m/f) - Secção de Padaria  Galé (Albufeira),"Apolonia Supermercados, SA",Faro,12-9-2024,Lojas / Comércio / Balcão
OPERADOR DE PRODUÇÃO (Setor Eletrónico) - AMKOR - Vila do Conde,Multitempo by Job&Talent,Porto,12-9-2024,Indústria / Produção
Programador .NET (m/f) - Faro (Estoi),"Apolonia Supermercados, SA",Faro,12-9-2024,Informática ( Programação )
Personal Trainer - Novas Condições - Grande Lisboa,SC FITNESS,Lisboa,12-9-2024,Desporto / Ginásios
Personal Trainer - Novas Condições - Grande Porto,SC FITNESS,Porto,12-9-2024,Desporto / Ginásios
Assistente Administrativa,Opções Consultoria Lda,Setubal,12-9-2024,Direito / Justiça
Cabeleireira Com Experiência,Anónimo,Braga,12-9-2024,Beleza / Moda / Bem Estar
Recrutamento de Médicos,"CLINICA MEDICA E DENTARIA VILA DE SAO PEDRO, LDA",Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Colaborador (a) para cozinha - Gelataria Amicini Albufeira,"FRASES E MOMENTOS, LDA",Faro,12-9-2024,Restauração / Bares / Pastelarias
Colaborador(a) para sala - Gelataria Amicini Albufeira,"FRASES E MOMENTOS, LDA",Faro,12-9-2024,Restauração / Bares / Pastelarias
.Net Developer & React.js (3y+ exp),Uniksystem,Lisboa,12-9-2024,Informática ( Programação )
Técnico de Sistemas de Detecção de Incêndio,"Pefipresa, Lda.",Lisboa,12-9-2024,Serviços Técnicos
Vaga de Barbeiro,Fellas Barber Premium,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Técnicos Hardware -Área Printing,KYOCERA DOCUMENT SOLUTIONS PORTUGAL,Lisboa,12-9-2024,Serviços Técnicos
Empregada de Mesa c/ Experiência - Entrada imediata,"LEITÕES DO ROSSIO, LDA",Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Engenheiro Civil para Projeto com experiência,civiconcebe,Lisboa,12-9-2024,Engenharia ( Civil )
Técnico de Manutenção Industrial (M/F),Anónimo,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Customer Service Representative - Dutch speaker,Everuptive,Lisboa,12-9-2024,Serviços Técnicos
Personal Trainers e Instrutores de Aulas de Grupo (m/f) - Santo António dos Cavaleiros,Vivafit Portugal,Lisboa,12-9-2024,Desporto / Ginásios
Instrutor de Fitness (m/f) - Balance República,Balance - Fitness Club Boutique,Lisboa,12-9-2024,Desporto / Ginásios
Técnicos Casa Cliente,PRINCESSPRODIGY - UNIPESSOAL LDA,( Todas as Zonas ),12-9-2024,Serviços Técnicos
Talent Acquisition Specialist (CDI)  EN/FR,ADVEEZ PORTUGAL LDA,( Todas as Zonas ),12-9-2024,Gestão RH
Condutor\Manobrador Camião grua,"Altura Reversivel,lda",( Todas as Zonas ),12-9-2024,Construção Civil
Responsável de Loja de manutenção Industrial,I9PRINT,( Todas as Zonas ),12-9-2024,Conservação / Manutenção / Técnica
Product Owner,OPENMOBI PORTUGAL,( Todas as Zonas ),12-9-2024,Informática ( Programação )
Condutores com Carta C+E,MIKHAIL SEMIN LDA,( Todas as Zonas ),12-9-2024,Transportes / Logística
TERAPIA DA FALA - Figueira da Foz,Instituto Clínico do Centro,Coimbra,12-9-2024,Saúde / Medicina / Enfermagem
Psiquiatra / Pedopsiquiatra,Clínica Dra. Joana Oliveira,Porto,12-9-2024,Saúde / Medicina / Enfermagem
Ajudante Obra,XCLUSIVEDECOR FACTORY LDA,Leiria,12-9-2024,Construção Civil
Admite-se Pedreiro Polivalente,AZULRECENTE INVESTIMENTOS LDA,Castelo Branco,12-9-2024,Construção Civil
Colaborador (a) para cozinha - Gelataria Amicini Albufeira,"FRASES E MOMENTOS, LDA",Faro,12-9-2024,Restauração / Bares / Pastelarias
Colaborador(a) para sala - Gelataria Amicini Albufeira,"FRASES E MOMENTOS, LDA",Faro,12-9-2024,Restauração / Bares / Pastelarias
Assistente de laboratório de prótese dentária,MAGIC DRAFT LDA,Lisboa,12-9-2024,Serviços Técnicos
Empregado(a) de mesa/balcão,"Carlos Joaquim Pinheiro, Lda.",Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Financial Accountants (M/F),Crowe Portugal,Lisboa,12-9-2024,Contabilidade / Finanças
Técnico de Manutenção AVAC,"Luban, Lda",Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Fotógrafo de serviços multimédia na área do imobiliário,REDSWEAT,Lisboa,12-9-2024,Artes / Entretenimento / Media
.NET/Java Fullstack Developer with AI,Infosistema,Lisboa,12-9-2024,Informática ( Programação )
Engenheiro Civil M/F zona Lisboa,"Injectgas, Lda",Lisboa,12-9-2024,Engenharia ( Civil )
Técnico Instalador,PR Automatismos,Lisboa,12-9-2024,Serviços Técnicos
Polivalentes remodelações,EUROVILLA LDA,Lisboa,12-9-2024,Construção Civil
Empregado/a de mesa,"Gomes & Almeida Actividades Hoteleiras, Lda",Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Técnico de Electrónica Alta Fidelidade,"XXI Tecnológica, Lda",Lisboa,12-9-2024,Serviços Técnicos
Mecânico,JM.MOTORSPORT,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Técnico de Compósitos,Prodvirtus Lda,Lisboa,12-9-2024,Serviços Técnicos
"Polivalente, com bastante experiência Const. Civil",Patamar do Talento Lda,Lisboa,12-9-2024,Construção Civil
Montador de móveis,Moa Home Concept,Lisboa,12-9-2024,Serviços Técnicos
"Médico(a) Veterinário(a) - Clínica Veterinária Fonte Santa - Algarve 2500,00",Clínica Veterinária Fonte Santa,Faro,12-9-2024,Saúde / Medicina / Enfermagem
Controlador de Logística e  Inventário,"Bed And Sun, Unipessoal Lda",Faro,12-9-2024,Transportes / Logística
Serralheiro para oficina em Loule,LINERGEL CONTROLADORES ENERGIA UNIPESSOAL LDA,Faro,12-9-2024,Indústria / Produção
Mecânico com experiência URGENTE QUARTEIRA,"ADN MAQUINAS, LDA",Faro,12-9-2024,Conservação / Manutenção / Técnica
RX Solar admite Técnico para áreas de energia solar e avac (Bom salario/horário),RX SOLAR ENGENHARIA E PROJECTOS LDA,Faro,12-9-2024,Conservação / Manutenção / Técnica
Contabilista Certificado ou Técnico de Contabilidade [Tavira],XL CONTA LDA,Faro,12-9-2024,Contabilidade / Finanças
Técnico de Mecânica (m/f),J COSTA & IRMÃO - REPARAÇÃO DE AUTOMOVEIS LDA,Faro,12-9-2024,Conservação / Manutenção / Técnica
Instalador de Caixilharia - Alumínios/PVC/Estores,"Caixigarve, Unipessoal, Lda",Faro,12-9-2024,Indústria / Produção
Instalador de Cozinhas  Leila Real kitchens,"LEILA REAL, LDA",Faro,12-9-2024,Construção Civil
Procura-se um pizzaiolo.,Gnomistage.Lda,Faro,12-9-2024,Restauração / Bares / Pastelarias
Polivalente de Manutenção,Wyndham Grand Algarve,Faro,12-9-2024,Conservação / Manutenção / Técnica
Fiel de Armazém (M/F) - Alcantarilha,BBDM Consulting Services,Faro,12-9-2024,Transportes / Logística
Arquiteto/a,LARK LAGOA,Faro,12-9-2024,Arquitectura / Design
Arquiteto/a,Sena Architects,Faro,12-9-2024,Arquitectura / Design
Operário Polivalente para Departamento de Manutenção,Morgado da Lameira SA,Faro,12-9-2024,Hotelaria / Turismo
Controller Budens,GOLFE SANTO ANTONIO - SOC EXP CAMPOS DE GOLFE S.A.,Faro,12-9-2024,Contabilidade / Finanças
O Aldeamento Pedras D el Rei encontra-se a recrutar Operário polivalente.,"GAPREI, Gestão do Aldeamento Pedras D'el Rei, S.A.",Faro,12-9-2024,Conservação / Manutenção / Técnica
Empregado (a) de Mesa com experiência português e inglês fluente,CASA DO RIO ACTIVIDADES HOTELEIRAS LDA,Faro,12-9-2024,Restauração / Bares / Pastelarias
Homeopata/Naturopata - Concelho de Lagoa,AET,Faro,12-9-2024,Saúde / Medicina / Enfermagem
Explicador de Português/Inglês - 3.º Ciclo - Ano Letivo 2024/25,100% Inteligente Unipessoal Lda,Faro,12-9-2024,Educação / Formação
Responsável de mesa,MATTEO CASALENA,Faro,12-9-2024,Hotelaria / Turismo
Cabeleireira (o) com urgência zona da Amadora,Cristina Sousa Cabeleireiro,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Ortoprotésico (F/M)  Part-time / Full-time,Miminho aos Avós,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Learning Coach - Ericeira,Brave Generation Academy,Lisboa,12-9-2024,Educação / Formação
Técnico de Eletrónica (m/f) - Zona de Carnaxide,"CORTEC MANAGED SERVICES, LDA",Lisboa,12-9-2024,Serviços Técnicos
Técnico de Contabilidade junior,Science4you,Lisboa,12-9-2024,Contabilidade / Finanças
Clínica Médica recruta Oftalmologista,Nabais Simões - GSS Lda,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Recrutamento de Cabeleireiros / as com experiência no ramo,STEFIBEL CABELEIREIROS LDA,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
"Instalador Toldos, Pérgulas, Guarda-Sóis","Tensotec, Lda",Lisboa,12-9-2024,Serviços Técnicos
Terapeuta da fala - Part time,Movipensa,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Técnico de montagem de caixilharias,HIPERDOOR SOCIEDADE UNIPESSOAL LDA,Lisboa,12-9-2024,Construção Civil
"Vaga para Barbeiro - Loures, Infantado",Arbítrio Soberano Lda,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Auxiliar de churrasqueiro,Churrasqueira Ginha,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
"POLIDOR/ Acabador Bancadas cozinha, Granito e Silestone",PEDROGRANITO INDUSTRIA DE MARMORES  LDA,Lisboa,12-9-2024,Indústria / Produção
Encarregado de Obra (Infraestruturas viárias),"Perspectivas e Perpendiculares, Lda",Lisboa,12-9-2024,Construção Civil
Regulatory Affairs Officer (m/f),"Phagecon,Serviços e Consultoria Farmacêutica, Lda.",Lisboa,12-9-2024,Farmácia / Biotecnologia
Chefe de Equipa Construção Civil para trabalhos em arruamentos,Estrela do Norte SA,Lisboa,12-9-2024,Construção Civil
Amorcar procura Mecânico Automóvel com Experiência - Queluz,Amorcar,Lisboa,12-9-2024,Serviços Técnicos
Assistente de Contabilidade (Clientes),GROUNDLINK HOLDING,Lisboa,12-9-2024,Contabilidade / Finanças
Consultant doctors-Ireland,BOLOGNA HEALTH JOBS,Outros Locais - Estrangeiro,12-9-2024,Saúde / Medicina / Enfermagem
Desenhador/Orçamentista: Carpintaria (m/f),MOVWOOD - FABRICO DE MOBILIARIO LDA,Lisboa,12-9-2024,Construção Civil
És Farmacêutico/a?,Farmácia Central de Alhandra,Lisboa,12-9-2024,Farmácia / Biotecnologia
Técnicos de AVAC / Hidráulica / Canalizadores (Pichelaria) - Lisboa,KRUMAFUSIA UNIP. LDA.,Lisboa,12-9-2024,Construção Civil
Procuramos cabeleireira/o,Loft2675,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Mecânico Bicicletas Full-Time em Lisboa,bikeiberia,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Tecnica Unhas Gel Loures,Fernanda Macedo,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Fisioterapeutas,Fisiopirâmide,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Técnico Instalador de Aparelhos a Gás (M/F) - Lisboa,"Catagás, Lda.",Lisboa,12-9-2024,Serviços Técnicos
Nail designer,Gossip Studio,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Assessor Financeiro Tecnico,"Reportmaxi - Consultores, Lda",Lisboa,12-9-2024,Contabilidade / Finanças
Cabeleireiro(a) - Entrada Imediata,Go4U Beauty,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Engenheiro Civil - Direção de Obra - Zona de Lisboa - Entrada Imediata,"Printlar - Unipessoal, Lda.",Lisboa,12-9-2024,Engenharia ( Civil )
Mecânico/Mecatrónico Serviços Rapidos (Jovem 1º Emprego),MOTORTUBE LDA,Lisboa,12-9-2024,Serviços Técnicos
Técnico de Manutenção (especialização em eletricidade),"GRUPO JOSE AVILLEZ, S.A.",Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Engenheiro Civil para Projeto com experiência,civiconcebe,Lisboa,12-9-2024,Engenharia ( Civil )
Arquiteto(a),"URBITRAÇO,  Arquitectura  e  Engenharia, Lda.",Lisboa,12-9-2024,Arquitectura / Design
Anicura Hospital Veterinário Vasco da Gama  Vaga para Médico/a Veterinário/a,ANICURA HOSPITAL VETERINARIO VASCO DA GAMA,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Procura-se Padeiro com conhecimentos de pastelaria,"Delicias e Desejos, LDA",Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Procuro preparador e que saiba pintar automoveis,VONTADE HIBRIDA AUTOMOVEIS UNIPESSOAL LDA,Lisboa,12-9-2024,Serviços Técnicos
Técnico / Engenheiro de Segurança Alimentar (HACCP),PHST - Prevenção Higiene e Saúde no Trabalho Lda.,Lisboa,12-9-2024,Serviços Técnicos
Oficial de Electricista (M/F),Imoconstarte,Lisboa,12-9-2024,Construção Civil
Manicure,DUTRA & CRUZ LDA,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Cabeleireira (o) com urgência zona da Amadora,Cristina Sousa Cabeleireiro,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Ortoprotésico (F/M)  Part-time / Full-time,Miminho aos Avós,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Learning Coach - Ericeira,Brave Generation Academy,Lisboa,12-9-2024,Educação / Formação
Técnico de Eletrónica (m/f) - Zona de Carnaxide,"CORTEC MANAGED SERVICES, LDA",Lisboa,12-9-2024,Serviços Técnicos
Técnico de Contabilidade junior,Science4you,Lisboa,12-9-2024,Contabilidade / Finanças
Clínica Médica recruta Oftalmologista,Nabais Simões - GSS Lda,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Recrutamento de Cabeleireiros / as com experiência no ramo,STEFIBEL CABELEIREIROS LDA,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
"Instalador Toldos, Pérgulas, Guarda-Sóis","Tensotec, Lda",Lisboa,12-9-2024,Serviços Técnicos
Técnico de montagem de caixilharias,HIPERDOOR SOCIEDADE UNIPESSOAL LDA,Lisboa,12-9-2024,Construção Civil
"Vaga para Barbeiro - Loures, Infantado",Arbítrio Soberano Lda,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Auxiliar de churrasqueiro,Churrasqueira Ginha,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
"POLIDOR/ Acabador Bancadas cozinha, Granito e Silestone",PEDROGRANITO INDUSTRIA DE MARMORES  LDA,Lisboa,12-9-2024,Indústria / Produção
Encarregado de Obra (Infraestruturas viárias),"Perspectivas e Perpendiculares, Lda",Lisboa,12-9-2024,Construção Civil
Encarregado de Obra (Infraestruturas viárias),"Perspectivas e Perpendiculares, Lda",Lisboa,12-9-2024,Construção Civil
Regulatory Affairs Officer (m/f),"Phagecon,Serviços e Consultoria Farmacêutica, Lda.",Lisboa,12-9-2024,Farmácia / Biotecnologia
Chefe de Equipa Construção Civil para trabalhos em arruamentos,Estrela do Norte SA,Lisboa,12-9-2024,Construção Civil
Amorcar procura Mecânico Automóvel com Experiência - Queluz,Amorcar,Lisboa,12-9-2024,Serviços Técnicos
Assistente de Contabilidade (Clientes),GROUNDLINK HOLDING,Lisboa,12-9-2024,Contabilidade / Finanças
Técnico de Sistemas de Segurança Eletrónica M/F,Fireoff Projectos Equipamentos Segurança Lda,Lisboa,12-9-2024,Serviços Técnicos
Técnica de unhas gel e massagem,Vanessa Carvalho clínica e estética,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Enfermeiro/a para ERPI,Casa dos Sonhos,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Estágio Curricular - Técnico Eletricista,"C.V.P. - Sociedade de Gestão Hospitalar, S.A.",Lisboa,12-9-2024,Serviços Técnicos
Gestor Comercial de Seguros - Vialonga,INSURFIN Lda.,Lisboa,12-9-2024,Banca / Seguros / Serviços Financeiros
Vaga de Barbeiro,Fellas Barber Premium,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Serralheiro Civil,Metalomecânica JFF Lda,Lisboa,12-9-2024,Indústria / Produção
Carpinteiro precisa-se,YASHINE SOUSA ADAM FAKIR,Lisboa,12-9-2024,Construção Civil
Cabeleireira/o,Patricia Gomes Cabeleireiros,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Precisamos Empregado de Mesa - Urgente,Churrasqueira do Marquês,Lisboa,12-9-2024,Restauração / Bares / Pastelarias
Contabilista Certificado - Pinhal Novo,Toc com Toque - Contabilidade e Serviços,Lisboa,12-9-2024,Contabilidade / Finanças
"Precisa-se esteticista, manicure/técnica de gel - Alcabideche",FTbeautylouge,Lisboa,12-9-2024,Beleza / Moda / Bem Estar
Contrato de Prestação de Serviços para Apoio Domiciliário,IRMANDADE DA MISERICORDIA DE LOURESise,Lisboa,12-9-2024,Serviços Sociais
Osteopata,"Turnwise, Lda",Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Controller de Gestão - Júnior,Kaffa,Lisboa,12-9-2024,Indústria / Produção
Responsable Relation Client (F/H),MOVEWORK PORTUGAL UNIPESSOAL LDA,Lisboa,12-9-2024,Call Center / Help Desk
Técnico de Equipamentos Médicos/Dentários,ARLINDO  CARVALHO - MATERIAIS EQUIPAMENTOS UNI LDA,( Todas as Zonas ),12-9-2024,Serviços Técnicos
Talent Acquisition Specialist (CDI)  EN/FR,ADVEEZ PORTUGAL LDA,( Todas as Zonas ),12-9-2024,Gestão RH
Ferrageiro,"RODA PLANETA, LDA",Porto,12-9-2024,Construção Civil
Serralheiro civil,Mobilário Urbano,Porto,12-9-2024,Construção Civil
Mecânico automóvel,"MANUEL ANTONIO ALVES, UNIPESSOAL LDA",Porto,12-9-2024,Serviços Técnicos
Bate-chapa de Veículos Automóveis (M/F),"José Moutinho Silva Unipessoal, lda",Porto,12-9-2024,Conservação / Manutenção / Técnica
Técnica de Unhas de Gel,Anónimo,Porto,12-9-2024,Beleza / Moda / Bem Estar
Eletricista Quadrista,EnergyTop - Instalações Elétricas e Topografia,Porto,12-9-2024,Conservação / Manutenção / Técnica
Empregada Pastelaria - Mindelo,Confeitaria Sonhos de Verão,Porto,12-9-2024,Lojas / Comércio / Balcão
Técnico Acabamento (Metalomecânica),"Pontec - Mecânica de Precisão, Lda",Porto,12-9-2024,Conservação / Manutenção / Técnica
Churrasqueiro(a),MESA REDONDA - RESTAURAÇÃO LDA,Aveiro,12-9-2024,Restauração / Bares / Pastelarias
Procura-se Técnico de Manutenção/ Eletromecânico Empilhadores (m/f),AAC Empilhadores,Aveiro,12-9-2024,Serviços Técnicos
Orçamentista,"Covema Madeiras, Lda",Aveiro,12-9-2024,Serviços Técnicos
INSTRUTOR/PT/AULAS DE GRUPO (m/f) - Ginásio Metrópole  em S. João da Madeira,Metrópole - Desporto e Saúde Unipessoal LDA,Aveiro,12-9-2024,Desporto / Ginásios
Técnico(a) de Farmácia - Farmácia de Miranda,Farmácia de Miranda,Bragança,12-9-2024,Farmácia / Biotecnologia
Herdade da Barrosinha _Alcácer do Sal _ Subchefe de Cozinha (m/f),KPI Hotel Management Services,Setubal,12-9-2024,Hotelaria / Turismo
Diretor de Manutenção,Toricas Negócios e Gestão Lda,Setubal,12-9-2024,Conservação / Manutenção / Técnica
Desmontagem e inspeção de peças sobressalentes para veículos,Desguaces Gil,Outros Locais - Estrangeiro,12-9-2024,Indústria / Produção
Dipl. Pflegefachperson 40 - 100 % Akut- und Notfallstation 60+ oder Station der Alterspsychiatrie,Psychiatrie St.Gallen,Outros Locais - Estrangeiro,12-9-2024,Saúde / Medicina / Enfermagem
Executive Chef for 4star Hotel in Ireland,Maris Recruitment LTd,Outros Locais - Estrangeiro,12-9-2024,Hotelaria / Turismo
Consultant doctors-Ireland,BOLOGNA HEALTH JOBS,Outros Locais - Estrangeiro,12-9-2024,Saúde / Medicina / Enfermagem
Técnico de Manutenção (m/f),MENDES GONCALVES SA,Santarem,12-9-2024,Conservação / Manutenção / Técnica
Biólogo(a)/Professor/a de Ciências,Play Academy,Santarem,12-9-2024,Educação / Formação
Técnico de injeção e/ou insuflação,"Plásticos IPA, SA",Leiria,12-9-2024,Indústria / Produção
Montador de Estruturas Metálicas,"Construções Vieira Alves, SA",Leiria,12-9-2024,Construção Civil
Técnico de Segurança no Trabalho (M/F)- Construção Civil,"Eco Demo,SA",Leiria,12-9-2024,Construção Civil
Técnico de  Montagem de Máquinas Industriais,"Geralógica, Lda",Leiria,12-9-2024,Conservação / Manutenção / Técnica
Técnico de Climatização para Leiria,"Rodriclima, Lda",Leiria,12-9-2024,Conservação / Manutenção / Técnica
Cozinheiro(a),Centro Social Paroquial Pousos,Leiria,12-9-2024,Restauração / Bares / Pastelarias
Estamos a Recrutar Técnico de AVAC (M/F),Enerpipe,Coimbra,12-9-2024,Serviços Técnicos
Quality Assurance Analyst,ebankIT,Porto,12-9-2024,Informática ( Programação )
Especialista em confecção de cortinados,"MONICA ISABEL VIEIRA, UNIPESSOAL, LDA",Porto,12-9-2024,Indústria / Produção
Trolhas e carpinteiros de cofragem,"CONSTRUÇÕES REMUGE & CORREIA, UNIPESSOAL, LDA",Porto,12-9-2024,Construção Civil
Electromecânico (portas industriais e automatismos) - Algarve,"AZPOLINKE, Lda",Faro,12-9-2024,Conservação / Manutenção / Técnica
