Titulo,Empresa,Local,Data,Categoria
Operador Agrícola para exploração agropecuária em Pavia (Concelho de Mora),SOCIEDADE AGRICOLA FONTE DA FRAGA UNIPESSOAL LDA,Evora,12-9-2024,Agricultura / Florestas / Pescas
Diretor de Obra (M/F) - AVEIRO & BRAGA,"Lomboser, S.A.",( Todas as Zonas ),12-9-2024,Engenharia ( Civil )
Assistência Dentária (m/f),GENIO DO SORRISO CLINICAS DENTARIAS LDA,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Contabilista Financeiro Interno,DESTEMIDO E OPORTUNO - CONSTRUCAO CIVIL LDA,Faro,12-9-2024,Contabilidade / Finanças
Gestor de Frota (Rent-a-car para Leiria,DASPRENT RENT A CAR LDA,Leiria,12-9-2024,Transportes / Logística
Empregados de Mesa(M/F)  MH Hotels - Peniche,MH Hotels,Leiria,12-9-2024,Hotelaria / Turismo
Encarregado geral e Entregador de Materiais,GUILHERME BORGES - CONSTRUCAO CIVIL UNIPESSOAL LDA,Setubal,12-9-2024,Engenharia ( Civil )
Vendedor de Loja (m/f) - Bragajav  V.N. Famalicão,BRAGAJAV LDA,Braga,12-9-2024,Lojas / Comércio / Balcão
Encarregado de  Obra (M/F) - AVEIRO & BRAGA,"Lomboser, S.A.",( Todas as Zonas ),12-9-2024,Construção Civil
Administrativo de Gestão/Secretariado (M/F),"Binómio - Produtos Alimentares, Lda.",Coimbra,12-9-2024,Administração / Secretariado
Preparador Automovel,GOTAS BINARIAS UNIPESSOAL LDA,Coimbra,12-9-2024,Conservação / Manutenção / Técnica
Engenheiro Civil (M/F),"BRISA COLORIDA, LDA",Lisboa,12-9-2024,Engenharia ( Civil )
Instalador Mobiliario - Santa Maria da Feira,Confidencial,Aveiro,12-9-2024,Indústria / Produção
Recepcionista para hotel 4* a 15 minutos de Coimbra,Conimbriga Hotel do Paço,Coimbra,12-9-2024,Hotelaria / Turismo
Administrativo/a - Batalha,Anónimo,Leiria,12-9-2024,Administração / Secretariado
Junta-te à nossa equipa - Engenheiros Civil,Cubo para Projecto,Lisboa,12-9-2024,Engenharia ( Civil )
Oficial de 1ª e Encarregado para Obras (Construção Civil) Grande Porto,Vitruvio Eng e Construção Lda,Porto,12-9-2024,Construção Civil
Italian Travel Agent,Navan Portugal,( Todas as Zonas ),12-9-2024,Call Center / Help Desk
Técnico de Contabilidade (M/F),"Ediclube - Edição e Promoção do Livro, S.A.",Lisboa,12-9-2024,Contabilidade / Finanças
Precisa-se Empregado Mesa com Experiencia,TRIBO INFALIVEL UNIP LDA,Porto,12-9-2024,Restauração / Bares / Pastelarias
Gestor Comercial - Aveiro,"Focus II, Lda.",Aveiro,12-9-2024,Imobiliário
Inscrições Abertas - CARPINTEIROS DE LIMPO - Obras Estrangeiro,IBER AGREE SA,Outros Locais - Estrangeiro,12-9-2024,Construção Civil
Técnico electromecânico e Mobilidade Eléctrica,Tecnopetrol Lda,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Conselheira/o beleza (m/f) - Colombo,SEPHORA,Lisboa,12-9-2024,Lojas / Comércio / Balcão
Comerciais - Produtos saúde- Com Agendamento ao domicilio feito pela empresa,"Medixisval, Produtos médicos lda",Porto,12-9-2024,Comercial / Vendas
Higienista Oral,cemed,Lisboa,12-9-2024,Saúde / Medicina / Enfermagem
Empregado/a Balcao com experiencia,PADEIRINHA DOCE,Porto,12-9-2024,Restauração / Bares / Pastelarias
Engenheiro(a) Gestão Industrial / Produção,"GranumLux, Lda",Viseu,12-9-2024,Indústria / Produção
Projetista de SCIE de 2ª a 4ª categorias de risco,Centralmed,Lisboa,12-9-2024,Engenharia ( Civil )
Customer Support (M/F),Centralmed,Lisboa,12-9-2024,Call Center / Help Desk
Enfermeira (m/f) (experiência em clínica é requisito obrigatório),Confidencial,Aveiro,12-9-2024,Saúde / Medicina / Enfermagem
Ajudante de cozinha e/ou empregado de mesa,Fresca Inspiração,Porto,12-9-2024,Restauração / Bares / Pastelarias
Administrativa (o),"BRISA COLORIDA, LDA",Lisboa,12-9-2024,Administração / Secretariado
Coordenador Comercial Solar,Tabela Irresistivel,( Todas as Zonas ),12-9-2024,Comercial / Vendas
Educador/a de Infância,"Colégio Giz Mágico, Massamá",Lisboa,12-9-2024,Educação / Formação
Químicas/Ciências do Ambiente/Engenharia Sanitária,DOYA AMBIENTAL LDA,Porto,12-9-2024,Serviços Técnicos
Técnico de Manutenção/ Electromecânico,Anónimo,Lisboa,12-9-2024,Conservação / Manutenção / Técnica
Mecânico Camiões e Giratórias Urgente,RichFormula,( Todas as Zonas ),12-9-2024,Conservação / Manutenção / Técnica
Técnicos e ajudantes para instalação de AR CONDICIONADO - Alcantarilha,Sacl,Faro,12-9-2024,Serviços Técnicos
Admitimos Coordenador de Segurança,Portic One,Faro,12-9-2024,Engenharia ( Civil )
Electricistas e ajudantes,Sequenciforma Unipessoal Lda,Lisboa,12-9-2024,Construção Civil
Licenciado em Contabilidade/Gestão/Auditoria/Economia(m/f),Anónimo,Porto,12-9-2024,Contabilidade / Finanças
Colaborador/a para Estagio em Contabilidade/Gestão/Economia,Anónimo,Porto,12-9-2024,Contabilidade / Finanças
Consultor(a) Sustentabilidade / ESG,SCORING,Lisboa,12-9-2024,Gestão de Empresas / Economia
Empregado de mesa c/ experiência,Mendes e Figueiredo Restauração Lda,Porto,12-9-2024,Restauração / Bares / Pastelarias
Colaborador/a para Limpeza Apartamentos Turísticos,TimeCooler,Lisboa,12-9-2024,Limpezas / Domésticas
Motorista Pesados para distribuição,"Equipa Prospera Service, Lda.",Outros Locais - Estrangeiro,12-9-2024,Transportes / Logística
Coordenador de Qualidade e Manutenção,TimeCooler,Lisboa,12-9-2024,Hotelaria / Turismo
Groomer - Tosquiador(a) - Profissional banhos e Tosquias com Experiencia em Lisboa,Cila Banhos e Tosquias,Lisboa,12-9-2024,Lojas / Comércio / Balcão
Gestora Processual / Intermediária de crédito  Imobiliária,Service + Portugal Investe,Setubal,12-9-2024,Imobiliário
Designer Interiores 3D - Santa Maria Feira,Confidencial,Porto,12-9-2024,Arquitectura / Design
Controle de Stocks e Apoio ao Armazém,"ATWOO-Car Cosmetics, Lda",Leiria,12-9-2024,Indústria / Produção
Licenciado Gestão e Administração Pública,"Daily Spin II, Lda.",Lisboa,12-9-2024,Gestão de Empresas / Economia
Apoio Cliente / Rececionista (M/F) - Tarde / Noite,APT IIN,Lisboa,12-9-2024,Hotelaria / Turismo
Armazéns do Chiado Vendedor Loja Chás com Inglês Fluente C1 C2  (m/f) - Lisboa,Tea Shop,Lisboa,12-9-2024,Lojas / Comércio / Balcão
Recepcionista,MARCIA C MACHADO LDA,Setubal,12-9-2024,Administração / Secretariado
Apoio Cliente / Rececionista (M/F) - Lisboa,APT IIN,Lisboa,12-9-2024,Hotelaria / Turismo
